,GENE.SET,ES,NES,P.VALUE
732,GSE1566_WT_VS_EZH2_KO_LN_TCELL_UP,-0.287,-1.36,0.0419
733,GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN,-0.29,-1.4,0.0419
734,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN,-0.328,-1.46,0.0419
735,GSE17721_LPS_VS_CPG_1H_BMDM_UP,0.322,1.43,0.042
736,GSE2585_CTEC_VS_MTEC_THYMUS_UP,-0.327,-1.42,0.0421
737,GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN,-0.395,-1.55,0.0421
738,GSE18281_CORTEX_VS_MEDULLA_THYMUS_DN,-0.304,-1.39,0.0422
739,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_UP,-0.326,-1.46,0.0422
740,GSE29164_DAY3_VS_DAY7_UNTREATED_MELANOMA_UP,-0.335,-1.47,0.0422
741,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN,0.38,1.52,0.0423
742,GSE22033_WT_VS_PPARG_KO_MEF_DN,0.334,1.42,0.0423
743,GSE28408_LY6G_POS_VS_NEG_DC_UP,-0.302,-1.4,0.0423
744,GSE27786_LSK_VS_CD4_TCELL_UP,0.286,1.36,0.0425
745,GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_12H_DN,-0.338,-1.42,0.0425
746,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN,0.426,1.6,0.0426
747,GSE33424_CD161_INT_VS_NEG_CD8_TCELL_DN,-0.282,-1.37,0.0426
748,GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN,-0.38,-1.58,0.0426
749,GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP,0.292,1.39,0.0428
750,GSE22033_WT_VS_PPARG_KO_MEF_UP,-0.285,-1.35,0.0428
751,GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_UP,-0.301,-1.38,0.0428
752,GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP,0.437,1.58,0.043
753,GSE17721_POLYIC_VS_GARDIQUIMOD_1H_BMDM_UP,-0.278,-1.35,0.043
754,GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_DN,0.424,1.6,0.0431
755,GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDM_UP,0.299,1.36,0.0431
756,GSE27786_BCELL_VS_NKCELL_DN,-0.271,-1.34,0.0432
757,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_DN,-0.283,-1.34,0.0432
758,GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_DN,-0.295,-1.39,0.0432
759,GSE32164_ALTERNATIVELY_ACT_M2_VS_CMYC_INHIBITED_MACROPHAGE_UP,-0.404,-1.6,0.0432
760,GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP,0.308,1.39,0.0433
761,GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN,0.331,1.44,0.0434
762,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_NOD_DN,-0.32,-1.43,0.0435
763,GSE37534_UNTREATED_VS_GW1929_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_DN,0.358,1.48,0.0436
764,GSE14308_TH17_VS_NATURAL_TREG_UP,0.319,1.43,0.0437
765,GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN,0.407,1.59,0.0438
766,GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN,-0.34,-1.48,0.044
767,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_DN,-0.351,-1.48,0.0441
768,GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP,-0.318,-1.44,0.0442
769,GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_DN,-0.333,-1.5,0.0442
770,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP,-0.282,-1.35,0.0443
771,GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_DN,-0.297,-1.38,0.0443
772,GSE17721_POLYIC_VS_CPG_8H_BMDM_UP,-0.293,-1.4,0.0444
773,GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP,-0.336,-1.47,0.0444
774,GSE24210_TCONV_VS_TREG_DN,0.272,1.33,0.0445
775,GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,0.384,1.53,0.0446
776,GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_ATOPIC_PATIENT_UP,0.323,1.43,0.0446
777,GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,-0.326,-1.45,0.0446
778,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_12H_ACT_CD4_TCELL_DN,-0.358,-1.51,0.0446
779,GSE6681_DELETED_FOXP3_VS_WT_TREG_DN,0.313,1.42,0.0447
780,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP,-0.434,-1.6,0.045
781,GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN,-0.464,-1.68,0.045
782,GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP,-0.323,-1.42,0.0451
783,GSE14308_INDUCED_VS_NATURAL_TREG_UP,0.307,1.38,0.0452
784,GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP,-0.377,-1.54,0.0452
785,GSE22886_NAIVE_TCELL_VS_NKCELL_UP,-0.401,-1.59,0.0452
786,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP,0.343,1.48,0.0454
787,GSE41867_DAY6_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN,-0.313,-1.41,0.0454
788,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP,-0.416,-1.58,0.0454
789,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_6H_CD4_TCELL_DN,0.326,1.44,0.0455
790,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP,-0.273,-1.32,0.0455
791,GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_DN,-0.332,-1.44,0.0456
792,GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_DN,0.376,1.53,0.0459
793,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN,0.383,1.58,0.046
794,GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG2_AND_FOXP3_TRASDUCED_UP,-0.313,-1.42,0.046
795,GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP,-0.314,-1.42,0.046
796,GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN,-0.322,-1.48,0.046
797,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,-0.382,-1.54,0.046
798,GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP,-0.313,-1.43,0.0461
799,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_DN,0.395,1.54,0.0463
800,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP,0.382,1.55,0.0464
801,GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP,-0.332,-1.46,0.0464
802,GSE27859_CD11C_INT_F480_HI_MACROPHAGE_VS_CD11C_ING_F480_INT_DC_UP,-0.273,-1.33,0.0465
803,GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,-0.329,-1.46,0.0466
804,GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_DN,-0.404,-1.56,0.0466
805,GSE20715_0H_VS_6H_OZONE_LUNG_DN,-0.3,-1.38,0.0468
806,GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN,0.305,1.36,0.0469
807,GSE37605_NOD_VS_C57BL6_IRES_GFP_TREG_DN,-0.288,-1.34,0.047
808,GSE31082_DN_VS_CD8_SP_THYMOCYTE_DN,-0.343,-1.45,0.047
809,GSE15930_STIM_VS_STIM_AND_IL-12_72H_CD8_T_CELL_UP,0.28,1.35,0.0471
810,GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN,-0.273,-1.3,0.0471
811,GSE3982_NEUTROPHIL_VS_TH1_DN,0.347,1.48,0.0474
812,GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_DN,0.267,1.32,0.0474
813,GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP,0.275,1.31,0.0474
814,GSE12366_NAIVE_VS_MEMORY_BCELL_UP,-0.33,-1.42,0.0474
815,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_DN,-0.387,-1.54,0.0474
816,GSE17721_0.5H_VS_8H_PAM3CSK4_BMDM_DN,0.303,1.37,0.0475
817,GSE20715_WT_VS_TLR4_KO_LUNG_DN,-0.301,-1.37,0.0475
818,GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_UP,-0.29,-1.36,0.0476
819,GSE21927_SPLENIC_C26GM_TUMOROUS_VS_BONE_MARROW_MONOCYTES_DN,0.267,1.32,0.0485
820,GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN,-0.296,-1.35,0.0486
821,GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_DN,-0.338,-1.45,0.0486
822,GSE3982_BCELL_VS_TH2_DN,0.351,1.53,0.0489
823,GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN,-0.297,-1.36,0.0489
824,GSE3982_MAC_VS_BCELL_DN,-0.315,-1.42,0.049
825,GSE3982_EOSINOPHIL_VS_MAC_DN,0.302,1.39,0.0492
826,GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP,-0.358,-1.45,0.0494
827,GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_DN,0.306,1.42,0.0498
